"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"HISTORIC WOMEN","None","She was born in Virginia around 1596 & died in Kent, England in 1617","Pocahontas"
"SPORTS LEGENDS","None","If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract","H.J. Heinz (Heinz 57 Varieties)"
"THE MAP OF EUROPE","None","Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries","Slovenia"
"FAMOUS SHIPS","None","On December 27, 1831 it departed Plymouth, England to map the coastline of South America","the HMS Beagle"
"EUROPEAN HISTORY","None","He filed for divorce citing Leviticus 20:21, "If a man shall take his brother's wife, it is an unclean thing"","Henry VIII"
"BRITISH NOVELS","None","This 1895 novel is subtitled "An Invention"","The Time Machine"
"FLAGS OF THE WORLD","None","In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the "herring salad"","Norway and Sweden"
"THE BRITISH THEATRE","None","Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000","The Mousetrap"
"THE CONSTITUTION","None","Word completing the line "Nor shall any person be subject for the same offense to be twice put in" this","Jeopardy"
"GEOGRAPHIC PHRASES","None","This common term originated in the early 1500s with the book "De Rebus Oceanicis et Novo Orbe"","the New World"
"AMERICAN HISTORY","None","On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word","Treason!"
"RANKS & TITLES","None","Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title","Prince of Wales"
"CANDY","None","Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter","Jolly Rancher"
"THE PRESIDENCY","None","If a president is impeached, this official presides over the trial in the Senate","the Chief Justice of the United States"
"THEATRE","None","The 1996 musical "Play On!" gets its title from the first line of this Shakespeare play, on which it is based","\"Twelfth Night\""
"FILM CLASSICS","None","This 1951 classic stars the AFI's top picks for the greatest male & female film legends","The African Queen (Humphrey Bogart & Katharine Hepburn)"
"NONFICTION AUTHORS","None","First published in 1946, a book written by this man became the bestselling book in the U.S. after the Bible","Dr. Benjamin Spock (\"Baby and Child Care\")"
"KNOWLEDGE BY THE NUMBERS","None","Number of males who served as British PM in the 1990s plus Oscars won by Tom Hanks plus protons in a helium nucleus","6 (2 + 2 + 2)"
"FAMOUS NAMES","None","He published a history of Virginia & New England in 1624, after escaping from Turks, Indians & pirates","Captain John Smith"
"CABLE TELEVISION","None","The name of this channel can be traced back to a movie theater that opened in 1905 in McKeesport, Pa.","Nickelodeon"
"THE 50 STATES","None","Since 1776, it has been the only U.S. state to be the most populous state for more than a century","New York"
"ASIA","None","It's Asia's southernmost national capital","Jakarta (Indonesia)"
"WORLD GEOGRAPHY","None","One story says this point was so named becuase it was a positive sign of a sea route from Europe to India","Cape of Good Hope"
"20th CENTURY BOOKS","None","Chapter I of this book tells us: "Worse than the ordinary miserable childhood is the miserable Irish childhood..."","Angela's Ashes (by Frank McCourt)"
"19th CENTURY POLITICIANS","None","As Territories Committee chair, this Midwest senator helped draw the borders of 7 territories, including Kansas & Nebraska","Stephen Douglas"
"PRESIDENTIAL ELECTIONS","None","He was the last sitting president to run for re-election & finish third in the Electoral College","William Howard Taft"
"INFLUENTIAL 19th CENTURY THINKERS","None","At the University of Bonn in 1836, he was wounded in a duel with a member of an aristocratic Prussian fraternity","Karl Marx"
"HISTORIC PROPERTY TRANSACTIONS","None","On May 15, 1768 France bought this island from Genoa for 2 million livres","Corsica"
"MOUNTAINS","None","To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government","Mount Everest"
"ASIA","None","19th century novelist Jose Rizal was a hero of this country's independence movement","the Philippines"
"EMPIRES","None","In the early 1800s, this man's empire included the duchy of Warsaw, the kingdom of Naples & Spain","Napoleon"
"SPORTS & THE MOVIES","None","When asked for a home address in "The Blues Bros." Elwood gives 1060 W. Addison St., the home of this facility","Wrigley Field"
